Product,Region,Units Sold,Unit Price,Date,Total Sales
A,North,56,39.041774944982535,2023-05-12,2186.339396919022
A,West,46,13.906070496835548,2023-05-13,639.6792428544352
A,East,74,93.21789972012364,2023-05-14,6898.12457928915
C,South,19,92.72041437507934,2023-05-15,1761.6878731265076
A,West,58,32.769115119031696,2023-05-16,1900.6086769038384
A,North,64,72.58700107959828,2023-05-17,4645.56806909429
A,East,12,16.789109238079234,2023-05-18,201.4693108569508
C,West,57,24.959388871832765,2023-05-19,1422.6851656944675
A,West,64,29.51281959278421,2023-05-20,1888.8204539381895
D,East,9,36.50445521554869,2023-05-21,328.54009693993817
A,West,72,99.62482375264337,2023-05-22,7172.987310190322
D,East,10,72.72325502774333,2023-05-23,727.2325502774333
D,South,98,44.57816482412979,2023-05-24,4368.66015276472
D,East,51,76.33906352587174,2023-05-25,3893.2922398194587
C,East,59,92.37289075021957,2023-05-26,5450.000554262954
C,East,44,96.28321666670615,2023-05-27,4236.46153333507
C,West,56,15.207750798193665,2023-05-28,851.6340446988452
A,West,20,45.50696187473169,2023-05-29,910.1392374946338
D,East,17,19.608045934229594,2023-05-30,333.3367808819031
C,West,34,40.209405831726684,2023-05-31,1367.1197982787073
C,North,23,25.271191350600898,2023-06-01,581.2374010638207
A,North,21,68.21635255018515,2023-06-02,1432.543403553888
C,West,67,44.944154559088496,2023-06-03,3011.258355458929
A,West,23,30.64552711344547,2023-06-04,704.8471236092458
B,East,96,33.9344132467815,2023-06-05,3257.7036716910243
C,South,62,42.43105856847414,2023-06-06,2630.725631245397
B,West,59,33.395487656883645,2023-06-07,1970.333771756135
A,North,94,50.791676214594794,2023-06-08,4774.41756417191
D,East,94,12.908435599868541,2023-06-09,1213.392946387643
C,West,66,35.178715645205116,2023-06-10,2321.7952325835377
A,North,27,47.00860487849676,2023-06-11,1269.2323317194125
D,North,13,64.25036938209686,2023-06-12,835.2548019672593
D,South,16,34.38618782636169,2023-06-13,550.1790052217871
B,East,5,21.986661270137475,2023-06-14,109.93330635068737
A,East,62,16.858034163924685,2023-06-15,1045.1981181633305
D,South,5,94.64786444218451,2023-06-16,473.2393222109226
C,South,38,47.49751519646313,2023-06-17,1804.9055774655988
C,East,52,62.30463590627436,2023-06-18,3239.841067126267
B,East,93,92.72588966520036,2023-06-19,8623.507738863633
D,West,5,17.447357803177553,2023-06-20,87.23678901588777
A,West,20,88.89953373332135,2023-06-21,1777.990674666427
C,South,65,59.6429085289663,2023-06-22,3876.78905438281
D,West,68,24.835083502330086,2023-06-23,1688.7856781584458
D,North,67,47.01296049268321,2023-06-24,3149.868353009775
B,West,73,79.9842055361703,2023-06-25,5838.847004140432
C,West,26,53.23330736797192,2023-06-26,1384.06599156727
C,North,97,98.67574455989539,2023-06-27,9571.547222309853
A,South,71,43.906507294414666,2023-06-28,3117.3620179034415
C,North,80,77.46204699784649,2023-06-29,6196.963759827719
A,West,30,45.36905040809732,2023-06-30,1361.0715122429197
C,South,20,84.6247798635863,2023-07-01,1692.495597271726
B,West,55,61.217332224917286,2023-07-02,3366.9532723704506
C,North,90,15.71606466310012,2023-07-03,1414.4458196790108
A,North,61,13.313968087239225,2023-07-04,812.1520533215927
A,West,33,22.046690692056988,2023-07-05,727.5407928378806
B,East,82,11.230476834429755,2023-07-06,920.8991004232399
C,East,96,16.782315431721607,2023-07-07,1611.1022814452742
C,North,73,72.25429574520209,2023-07-08,5274.563589399752
B,North,51,58.09116475265168,2023-07-09,2962.6494023852356
C,East,98,77.49196745229746,2023-07-10,7594.212810325151
C,East,66,92.18491770318785,2023-07-11,6084.204568410398
A,West,73,62.663457909292475,2023-07-12,4574.43242737835
C,West,80,75.35087596646633,2023-07-13,6028.070077317307
C,East,20,78.13730818382103,2023-07-14,1562.7461636764206
B,West,94,44.006549434820776,2023-07-15,4136.615646873153
B,West,94,31.697634909666867,2023-07-16,2979.5776815086856
D,South,52,28.454079565587243,2023-07-17,1479.6121374105367
A,West,89,32.62981955606186,2023-07-18,2904.0539404895057
C,North,43,34.72586173233179,2023-07-19,1493.212054490267
